
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA NAME(NA#),PA#
#BALOCHISTAN

SHERANI, SHERANI CUM ZHOB, ZHOB, BALOCHISTAN, SHERANI CUM ZHOB (NA-251), PB-1
ZHOB, ZHOB, ZHOB, BALOCHISTAN, ZHOB (NA-251), PB-2
KILLA SAIFULLAH, KILLA SAIFULLAH, KILLA SAIFULLAH, BALOCHISTAN, KILLA SAIFULLAH (NA-251), PB-3
MUSAKHEL, MUSAKHEL CUM BARKHAN, MUSAKHEL, BALOCHISTAN, MUSAKHEL CUM BARKHAN (NA-252), PB-4
BARKHAN, MUSAKHEL CUM BARKHAN, BARKHAN, BALOCHISTAN, MUSAKHEL CUM BARKHAN (NA-252), PB-4
LORALAI, LORALAI, LORALAI, BALOCHISTAN, LORALAI (NA-252), PB-5
DUKKI, DUKKI, DUKKI, BALOCHISTAN, DUKKI (NA-252), PB-6
ZIARAT, ZIARAT CUM HARNAI, HARNAI, BALOCHISTAN, ZIARAT CUM HARNAI (NA-253), PB-7
HARNAI, ZIARAT CUM HARNAI, HARNAI, BALOCHISTAN, ZIARAT CUM HARNAI (NA-253), PB-7
SIBI, SIBI, SIBI, BALOCHISTAN, SIBI (NA-253), PB-8
KOHLU, KOHLU, KOHLU, BALOCHISTAN, KOHLU (NA-253), PB-9
DERA BUGTI, DERA BUGTI, DERA BUGTI, BALOCHISTAN, DERA BUGTI (NA-253), PB-10
JHAL MAGSI, JHAL MAGSI, JHAL MAGSI, BALOCHISTAN, JHAL MAGSI (NA-254), PB-11
KACHHI, KACHHI, KACHHI, BALOCHISTAN, KACHHI (NA-254), PB-12
NASIRABAD, NASIRABAD-I, NASIRABAD, BALOCHISTAN, NASIRABAD-I (NA-254), PB-13
NASIRABAD, NASIRABAD-II, NASIRABAD, BALOCHISTAN, NASIRABAD-II (NA-254), PB-14
SOHBATPUR, SOHBATPUR, SOHBATPUR, BALOCHISTAN, SOHBATPUR (NA-255), PB-15
JAFFARABAD, JAFFARABAD, JAFFARABAD, BALOCHISTAN, JAFFARABAD (NA-255), PB-16
USTA MUHAMMAD, USTA MUHAMMAD, USTA MUHAMMAD, BALOCHISTAN, USTA MUHAMMAD (NA-255), PB-17
KHUZDAR, KHUZDAR-I, KHUZDAR, BALOCHISTAN, KHUZDAR-I (NA-256), PB-18
